fecha,pais,id_campaña,canal,gasto,mes
2025-01-01,mexico,organic_mexico,organic,2446.25,2025-01
2025-01-01,mexico,paid_search_mexico,paid_search,2704.34,2025-01
2025-01-01,mexico,social_mexico,social,2045.01,2025-01
2025-01-01,colombia,organic_colombia,organic,2597.21,2025-01
2025-01-01,colombia,paid_search_colombia,paid_search,1771.4,2025-01
2025-01-01,colombia,social_colombia,social,833.38,2025-01
2025-01-01,argentina,organic_argentina,organic,1365.62,2025-01
2025-01-01,argentina,paid_search_argentina,paid_search,1282.65,2025-01
2025-01-01,argentina,social_argentina,social,1534.69,2025-01
2025-01-02,mexico,organic_mexico,organic,2537.38,2025-01
2025-01-02,mexico,paid_search_mexico,paid_search,1689.07,2025-01
2025-01-02,mexico,social_mexico,social,2413.74,2025-01
2025-01-02,colombia,organic_colombia,organic,1020.04,2025-01
2025-01-02,colombia,paid_search_colombia,paid_search,1573.18,2025-01
2025-01-02,colombia,social_colombia,social,726.68,2025-01
2025-01-02,argentina,organic_argentina,organic,2295.15,2025-01
2025-01-02,argentina,paid_search_argentina,paid_search,2114.02,2025-01
2025-01-02,argentina,social_argentina,social,1020.97,2025-01
2025-01-03,mexico,organic_mexico,organic,607.52,2025-01
2025-01-03,mexico,paid_search_mexico,paid_search,690.46,2025-01
2025-01-03,mexico,social_mexico,social,2875.31,2025-01
2025-01-03,colombia,organic_colombia,organic,695.69,2025-01
2025-01-03,colombia,paid_search_colombia,paid_search,603.17,2025-01
2025-01-03,colombia,social_colombia,social,1055.99,2025-01
2025-01-03,argentina,organic_argentina,organic,2303.86,2025-01
2025-01-03,argentina,paid_search_argentina,paid_search,682.52,2025-01
2025-01-03,argentina,social_argentina,social,1483.57,2025-01
2025-01-04,mexico,organic_mexico,organic,1451.23,2025-01
2025-01-04,mexico,paid_search_mexico,paid_search,2001.64,2025-01
2025-01-04,mexico,social_mexico,social,1504.53,2025-01
2025-01-04,colombia,organic_colombia,organic,1743.33,2025-01
2025-01-04,colombia,paid_search_colombia,paid_search,2167.46,2025-01
2025-01-04,colombia,social_colombia,social,2524.27,2025-01
2025-01-04,argentina,organic_argentina,organic,1056.76,2025-01
2025-01-04,argentina,paid_search_argentina,paid_search,1025.27,2025-01
2025-01-04,argentina,social_argentina,social,964.01,2025-01
2025-01-05,mexico,organic_mexico,organic,551.18,2025-01
2025-01-05,mexico,paid_search_mexico,paid_search,1023.54,2025-01
2025-01-05,mexico,social_mexico,social,2337.62,2025-01
2025-01-05,colombia,organic_colombia,organic,2082.49,2025-01
2025-01-05,colombia,paid_search_colombia,paid_search,2519.19,2025-01
2025-01-05,colombia,social_colombia,social,1297.61,2025-01
2025-01-05,argentina,organic_argentina,organic,2733.78,2025-01
2025-01-05,argentina,paid_search_argentina,paid_search,727.99,2025-01
2025-01-05,argentina,social_argentina,social,765.51,2025-01
2025-01-06,mexico,organic_mexico,organic,1258.58,2025-01
2025-01-06,mexico,paid_search_mexico,paid_search,2832.68,2025-01
2025-01-06,mexico,social_mexico,social,2255.35,2025-01
2025-01-06,colombia,organic_colombia,organic,1963.21,2025-01
2025-01-06,colombia,paid_search_colombia,paid_search,2722.75,2025-01
2025-01-06,colombia,social_colombia,social,2865.75,2025-01
2025-01-06,argentina,organic_argentina,organic,2356.84,2025-01
2025-01-06,argentina,paid_search_argentina,paid_search,1572.76,2025-01
2025-01-06,argentina,social_argentina,social,532.18,2025-01
2025-01-07,mexico,organic_mexico,organic,2515.54,2025-01
2025-01-07,mexico,paid_search_mexico,paid_search,1133.93,2025-01
2025-01-07,mexico,social_mexico,social,1994.01,2025-01
2025-01-07,colombia,organic_colombia,organic,1869.52,2025-01
2025-01-07,colombia,paid_search_colombia,paid_search,1959.43,2025-01
2025-01-07,colombia,social_colombia,social,2239.17,2025-01
2025-01-07,argentina,organic_argentina,organic,1682.92,2025-01
2025-01-07,argentina,paid_search_argentina,paid_search,2181.47,2025-01
2025-01-07,argentina,social_argentina,social,1265.21,2025-01
2025-01-08,mexico,organic_mexico,organic,2879.73,2025-01
2025-01-08,mexico,paid_search_mexico,paid_search,1003.16,2025-01
2025-01-08,mexico,social_mexico,social,1147.28,2025-01
2025-01-08,colombia,organic_colombia,organic,2297.81,2025-01
2025-01-08,colombia,paid_search_colombia,paid_search,1949.01,2025-01
2025-01-08,colombia,social_colombia,social,2038.05,2025-01
2025-01-08,argentina,organic_argentina,organic,1725.48,2025-01
2025-01-08,argentina,paid_search_argentina,paid_search,2558.56,2025-01
2025-01-08,argentina,social_argentina,social,2136.17,2025-01
2025-01-09,mexico,organic_mexico,organic,2649.2,2025-01
2025-01-09,mexico,paid_search_mexico,paid_search,1993.03,2025-01
2025-01-09,mexico,social_mexico,social,2144.51,2025-01
2025-01-09,colombia,organic_colombia,organic,1560.15,2025-01
2025-01-09,colombia,paid_search_colombia,paid_search,1114.57,2025-01
2025-01-09,colombia,social_colombia,social,935.34,2025-01
2025-01-09,argentina,organic_argentina,organic,2418.51,2025-01
2025-01-09,argentina,paid_search_argentina,paid_search,2456.48,2025-01
2025-01-09,argentina,social_argentina,social,1398.62,2025-01
2025-01-10,mexico,organic_mexico,organic,2468.1,2025-01
2025-01-10,mexico,paid_search_mexico,paid_search,2625.72,2025-01
2025-01-10,mexico,social_mexico,social,2722.09,2025-01
2025-01-10,colombia,organic_colombia,organic,1891.16,2025-01
2025-01-10,colombia,paid_search_colombia,paid_search,2563.75,2025-01
2025-01-10,colombia,social_colombia,social,2625.36,2025-01
2025-01-10,argentina,organic_argentina,organic,2169.85,2025-01
2025-01-10,argentina,paid_search_argentina,paid_search,2767.74,2025-01
2025-01-10,argentina,social_argentina,social,799.02,2025-01
2025-01-11,mexico,organic_mexico,organic,2383.14,2025-01
2025-01-11,mexico,paid_search_mexico,paid_search,2096.82,2025-01
2025-01-11,mexico,social_mexico,social,2459.36,2025-01
2025-01-11,colombia,organic_colombia,organic,683.97,2025-01
2025-01-11,colombia,paid_search_colombia,paid_search,1555.56,2025-01
2025-01-11,colombia,social_colombia,social,2210.19,2025-01
2025-01-11,argentina,organic_argentina,organic,1321.93,2025-01
2025-01-11,argentina,paid_search_argentina,paid_search,1734.96,2025-01
2025-01-11,argentina,social_argentina,directo,849.7,2025-01
2025-01-12,mexico,organic_mexico,directo,2033.56,2025-01
2025-01-12,mexico,paid_search_mexico,directo,1260.65,2025-01
2025-01-12,mexico,social_mexico,directo,1660.9,2025-01
2025-01-12,colombia,organic_colombia,directo,1819.27,2025-01
2025-01-12,colombia,paid_search_colombia,directo,1583.33,2025-01
2025-01-12,colombia,social_colombia,directo,712.64,2025-01
2025-01-12,argentina,organic_argentina,directo,1860.4,2025-01
2025-01-12,argentina,paid_search_argentina,directo,885.06,2025-01
2025-01-12,argentina,social_argentina,directo,2253.77,2025-01
2025-01-13,mexico,organic_mexico,directo,2830.76,2025-01
2025-01-13,mexico,paid_search_mexico,directo,2797.38,2025-01
2025-01-13,mexico,social_mexico,directo,1701.42,2025-01
2025-01-13,colombia,organic_colombia,directo,1883.89,2025-01
2025-01-13,colombia,paid_search_colombia,directo,1151.34,2025-01
2025-01-13,colombia,social_colombia,directo,2261.13,2025-01
2025-01-13,argentina,organic_argentina,directo,833.13,2025-01
2025-01-13,argentina,paid_search_argentina,directo,2961.96,2025-01
2025-01-13,argentina,social_argentina,directo,2797.14,2025-01
2025-01-14,mexico,organic_mexico,directo,2201.4,2025-01
2025-01-14,mexico,paid_search_mexico,directo,2892.28,2025-01
2025-01-14,mexico,social_mexico,directo,608.76,2025-01
2025-01-14,colombia,organic_colombia,directo,505.28,2025-01
2025-01-14,colombia,paid_search_colombia,directo,963.54,2025-01
2025-01-14,colombia,social_colombia,directo,2847.73,2025-01
2025-01-14,argentina,organic_argentina,directo,1095.33,2025-01
2025-01-14,argentina,paid_search_argentina,directo,2189.47,2025-01
